buyer_key,buyer_name,n_live_contracts,expected_renewals_12m,expected_renewals_24m,max_p12,high_risk_contracts
SIRET:45151864100035,SAEM VENDEE - Vendée Globe,2,0.0886048068790346,0.1532229187524516,0.0487255748902731,0
NAME:conseil general loire atlantique,Conseil général de Loire-Atlantique,4,0.0886022768270472,0.1557842452251097,0.027897253444201,0
SIRET:17440005100010,GIE SESAM VITALE,2,0.0874706850446022,0.151346763216097,0.0471494785431285,0
SIREN:200014926,Territoire d'énergie Loire-Atlantique,2,0.0873739792699097,0.1511730429455592,0.0477278742338187,0
SIREN:200067346,CA PORNIC AGGLO PAYS DE RETZ,3,0.0873647640208548,0.15259949189289398,0.0368841432503831,0
SIRET:21850128600015,Ville de Luçon (85),2,0.0865231827080854,0.1497283768082753,0.0482097841666282,0
SIRET:13002974700016,Nantes Université,2,0.0861973660376332,0.1492032066613716,0.0471658286680731,0
SIREN:244400404,METROPOLE NANTES METROPOLE,3,0.0861527410013161,0.1505965185210957,0.0362540168672488,0
NAME:saint nazaire agglomeration carene,Saint-Nazaire Agglomération -  la CARENE,3,0.0853430670907797,0.149439958022607,0.0284476890302599,0
SIREN:411516768,C.S.T.B.,2,0.0837198428778788,0.1450741623798942,0.0445871015687422,0
NAME:dir ouest,DIR Ouest,4,0.0830171809320162,0.1461517755421341,0.0270087628156743,0
SIREN:830955068,ANGERS LOIRE TOURISME EXPO CONGRES,2,0.0828775631696577,0.1436525551936024,0.0446957316375762,0
NAME:ubs,UBS,3,0.0828484553812397,0.145164015540015,0.0282575670152661,0
SIREN:445400104,ASSOCIATION E-TOILE,3,0.08283492141808971,0.1451293086849605,0.0301260203349617,0
SIRET:17440005100010,CA SAUMUR VAL DE LOIRE,2,0.082469203741146,0.1429942099692442,0.041234601870573,0
SIREN:130001704,DIR INTERDEPARTEMENTALE DES RTE OUEST,2,0.0809441212921546,0.14038655645255083,0.0446646687581937,0
SIRET:12001002000028,Casier judiciaire national,2,0.0806334182634718,0.1399094259513167,0.040323748454048,0
SIRET:83095506800044,ANGERS LOIRE TOURISME EXPO CONGRES,2,0.079562388215548,0.13810214654271968,0.0412489896740908,0
SIRET:24850058900317,La Roche sur Yon Agglomération (85),2,0.0791524252175835,0.13741043779246648,0.0412489896740908,0
SIREN:214401432,MAIRIE DE REZE,2,0.0791236528784433,0.1373676876464255,0.040332721499235,0
SIREN:200083228,Commune d'Ancenis-Saint-Géréon,2,0.079105350700599,0.1372697332877082,0.0447112707984427,0
SIRET:20007023300016,"Terres de Montaigu, Communauté d'Agglomération (85)",2,0.0786549882669215,0.1365745290870765,0.0407947072090486,0
SIRET:13002622200013,INESAAE - L'Institut Agro,2,0.078400040591755,0.136150689499878,0.0392000202958775,0
SIRET:24440043800127,Grand Lieu Communauté,2,0.0780903755456464,0.1356290203955176,0.0390451877728232,0
SIRET:21370261600011,Mairie Tours,2,0.07807672514238331,0.13560602163064112,0.0390451877728232,0
SIRET:39172288100052,GIE SESAM VITALE,2,0.07772633366510831,0.1348381017665583,0.0471494785431285,0
SIRET:38105376800028,La Cité des Congrès de Nantes,2,0.0775619055956284,0.1347384612200836,0.0387809527978142,0
NAME:shema,SHEMA,3,0.0738445671264118,0.1296854090776695,0.0260539386976913,0
SIREN:214400558,Mairie de La Baule-Escoublac,2,0.0736774625203199,0.1281765666806674,0.0382085661225886,0
SIREN:834692402,CENOVIA CITES,2,0.0729949532869702,0.12702221679117198,0.0378999269783065,0
SIREN:242900769,Concarneau Cornouaille Agglomération,3,0.0720284029595468,0.12650495052145522,0.0284123760880645,0
SIREN:100492784,CORLAB,2,0.0710448722526516,0.12369092409073201,0.0392149163227163,0
SIREN:200054302,MONTREVAULT-SUR-ÈVRE,3,0.07064547480442951,0.1240990404778702,0.0288878255895053,0
SIRET:28850001000013,SDIS 85,2,0.0689722286809071,0.1201733496843241,0.0383661864427955,0
NAME:ville alencon,Ville d'Alençon,3,0.0678923777513184,0.1192478416412377,0.0318936161373568,0
SIREN:538208455,Gcs E-Sante Pays de la Loire,2,0.0670142591818406,0.1168881355297712,0.0335071295909203,0
SIREN:214900201,Ville de Beaucouzé,2,0.0664360128264988,0.11590005382777,0.0346396797709265,0
NAME:syndicat mixte gigalis,SYNDICAT MIXTE GIGALIS,3,0.0660911317069254,0.11622476023175529,0.0258686409741847,0
NAME:communaute cnes terres montaigu,Communauté de Cnes Terres de Montaigu,3,0.06550599088905601,0.1152474835936317,0.0252487347543794,0
NAME:semitan mandataire nantes metropole,SEMITAN mandataire de Nantes Métropole,3,0.06527558860394539,0.1147943011210641,0.0279664113470554,0
NAME:semitan mandataire nantes metropole,"SEMITAN, mandataire de Nantes Métropole",2,0.0646185509070924,0.1127965151732426,0.0348557551296087,0
SIREN:832970024,Institut Régional Administration Lyon,2,0.0629834865056688,0.10957203454177591,0.0446646687581937,0
SIREN:258500222,VENDEE EAU,2,0.0626531230530535,0.1093020229231955,0.0392012090020936,0
SIREN:214401580,Mairie de Saint Etienne de Montluc,2,0.06263395635065791,0.1092517856486318,0.0396045634865299,0
SIREN:409104007,association songo,2,0.061760732425688504,0.10778117233082779,0.0387231513848894,0
SIREN:831928452,FONDATION PARTENARIALE POLYTECH,2,0.061235797455134106,0.1068966098329818,0.0381818315320815,0
SIRET:17350005900014,Direction interdépartementale des routes ouest DIR Ouest,2,0.0612120844762232,0.1070068659824488,0.0306060422381116,0
NAME:cte communes region blain,Cté de Communes de la Région de Blain,3,0.060835018529770496,0.10719154265102859,0.0214264565873554,0
SIREN:200082139,COMMUNE LES SABLES D OLONNE,2,0.0607717506087245,0.106142516231678,0.0369229410322684,0
SIREN:254902505,ANGERS NANTES OPERA syndicat mixte,3,0.060099072136431994,0.1059020897377312,0.0234352531241562,0
SIREN:214400558,VILLE DE LA BAULE-ESCOUBLAC,2,0.0594611166827806,0.1038775881311062,0.0369771652972543,0
NAME:syndicat departemental energie,Syndicat Départemental d'Energie,3,0.0589756097259515,0.1038634732288415,0.0258136817319649,0
SIREN:200071876,CA SAUMUR VAL DE LOIRE,2,0.0582743346453053,0.101986797878052,0.0293354262926274,0
NAME:ville ecouflant,Ville d'Ecouflant,2,0.058245605716163204,0.1019356356397369,0.0300179979828558,0
NAME:cg49,CG49,3,0.0575904468703088,0.10156196619005739,0.0201973603514363,0
SIREN:191700327,Université de La Rochelle,3,0.0571281836265983,0.1007658466218574,0.0194081448370827,0
